sid,start_time,end_time,observation_count,lat_first,lat_min,lat_max,lon_first,lon_min,lon_max,basin,nature,storm_speed_mean,storm_dir_mean,season,duration_days,basin_name,storm_type
1852241N34278,1852-08-28 06:00:00,1852-08-31 12:00:00,27,33.6,33.6,44.7,-82.5,-82.5,-66.0,,TS,13.444444444444445,48.888888888888886,1852,3.25,,Tropical Storm
1852247N14309,1852-09-03 06:00:00,1852-09-16 18:00:00,109,14.0,14.0,38.0,-51.2,-87.8,-26.0,,TS,16.972477064220183,174.12844036697248,1852,13.5,,Tropical Storm
1852247N32318,1852-09-02 12:00:00,1852-09-06 12:00:00,33,32.0,32.0,44.0,-42.5,-44.6,-24.5,,TS,13.575757575757576,89.54545454545455,1852,4.0,,Tropical Storm
1852249N17296,1852-09-05 00:00:00,1852-09-06 18:00:00,15,17.0,17.0,19.7,-64.1,-72.5,-64.1,,TS,12.066666666666666,289.0,1852,1.75,,Tropical Storm
1852264N13309,1852-09-20 00:00:00,1852-10-04 12:00:00,117,13.0,13.0,43.6,-50.6,-74.6,-31.7,,TS,13.008547008547009,199.95726495726495,1852,14.5,,Tropical Storm
1852266N17274,1852-09-21 12:00:00,1852-09-24 00:00:00,21,16.8,16.8,18.4,-86.1,-88.9,-86.1,,TS,3.1904761904761907,300.4761904761905,1852,2.5,,Tropical Storm
1852271N15328,1852-09-26 12:00:00,1852-10-05 06:00:00,71,15.0,15.0,44.0,-31.9,-38.5,-26.5,,TS,10.056338028169014,169.57746478873239,1852,8.75,,Tropical Storm
1852273N11295,1852-09-28 12:00:00,1852-10-03 12:00:00,41,11.0,11.0,14.0,-65.5,-84.5,-65.5,,TS,9.609756097560975,278.9024390243902,1852,5.0,,Tropical Storm
1852278N14293,1852-10-03 12:00:00,1852-10-12 18:00:00,75,14.0,14.0,41.0,-67.0,-86.8,-50.0,,TS,16.346666666666668,177.93333333333334,1852,9.25,,Tropical Storm
1852331N24274,1852-11-26 00:00:00,1852-11-27 12:00:00,13,23.5,23.5,28.4,-86.2,-86.2,-73.7,,TS,21.846153846153847,60.38461538461539,1852,1.5,,Tropical Storm
